regime,theta_1,theta_2,c12,c21,trial,sign_error_q1,sign_error_q2
"A: theta=0, c=0",0.0,0.0,0.0,0.0,0,0.5333333333333333,0.5733333333333334
"A: theta=0, c=0",0.0,0.0,0.0,0.0,1,0.42,0.22
"A: theta=0, c=0",0.0,0.0,0.0,0.0,2,0.4,0.4066666666666667
"A: theta=0, c=0",0.0,0.0,0.0,0.0,3,0.9266666666666666,0.5733333333333334
"A: theta=0, c=0",0.0,0.0,0.0,0.0,4,0.4533333333333333,0.5533333333333333
"A: theta=0, c=0",0.0,0.0,0.0,0.0,5,0.54,0.3933333333333333
"A: theta=0, c=0",0.0,0.0,0.0,0.0,6,0.49333333333333335,0.3933333333333333
"A: theta=0, c=0",0.0,0.0,0.0,0.0,7,0.38,0.4
"A: theta=0, c=0",0.0,0.0,0.0,0.0,8,0.6466666666666666,0.18666666666666668
"A: theta=0, c=0",0.0,0.0,0.0,0.0,9,0.54,0.47333333333333333
"A: theta=0, c=0",0.0,0.0,0.0,0.0,10,0.2866666666666667,0.26666666666666666
"A: theta=0, c=0",0.0,0.0,0.0,0.0,11,0.42,0.8133333333333334
"A: theta=0, c=0",0.0,0.0,0.0,0.0,12,0.54,0.7266666666666667
"A: theta=0, c=0",0.0,0.0,0.0,0.0,13,0.5266666666666666,0.6
"A: theta=0, c=0",0.0,0.0,0.0,0.0,14,0.3333333333333333,0.42
"A: theta=0, c=0",0.0,0.0,0.0,0.0,15,0.64,0.44666666666666666
"A: theta=0, c=0",0.0,0.0,0.0,0.0,16,0.47333333333333333,0.56
"A: theta=0, c=0",0.0,0.0,0.0,0.0,17,0.5666666666666667,0.49333333333333335
"A: theta=0, c=0",0.0,0.0,0.0,0.0,18,0.6466666666666666,0.46
"A: theta=0, c=0",0.0,0.0,0.0,0.0,19,0.7333333333333333,0.58
"A: theta=0, c=0",0.0,0.0,0.0,0.0,20,0.36,0.28
"A: theta=0, c=0",0.0,0.0,0.0,0.0,21,0.5933333333333334,0.44
"A: theta=0, c=0",0.0,0.0,0.0,0.0,22,0.36666666666666664,0.6
"A: theta=0, c=0",0.0,0.0,0.0,0.0,23,0.32666666666666666,0.44666666666666666
"A: theta=0, c=0",0.0,0.0,0.0,0.0,24,0.49333333333333335,0.7933333333333333
"A: theta=0, c=0",0.0,0.0,0.0,0.0,25,0.15333333333333332,0.44
"A: theta=0, c=0",0.0,0.0,0.0,0.0,26,0.5466666666666666,0.32666666666666666
"A: theta=0, c=0",0.0,0.0,0.0,0.0,27,0.7,0.36
"A: theta=0, c=0",0.0,0.0,0.0,0.0,28,0.44,0.32
"A: theta=0, c=0",0.0,0.0,0.0,0.0,29,0.5133333333333333,0.5466666666666666
"A: theta=0, c=0",0.0,0.0,0.0,0.0,30,0.58,0.5133333333333333
"A: theta=0, c=0",0.0,0.0,0.0,0.0,31,0.4866666666666667,0.48
"A: theta=0, c=0",0.0,0.0,0.0,0.0,32,0.5,0.6066666666666667
"A: theta=0, c=0",0.0,0.0,0.0,0.0,33,0.5866666666666667,0.25333333333333335
"A: theta=0, c=0",0.0,0.0,0.0,0.0,34,0.31333333333333335,0.2
"A: theta=0, c=0",0.0,0.0,0.0,0.0,35,0.43333333333333335,0.46
"A: theta=0, c=0",0.0,0.0,0.0,0.0,36,0.62,0.7133333333333334
"A: theta=0, c=0",0.0,0.0,0.0,0.0,37,0.5666666666666667,0.36
"A: theta=0, c=0",0.0,0.0,0.0,0.0,38,0.5266666666666666,0.6333333333333333
"A: theta=0, c=0",0.0,0.0,0.0,0.0,39,0.49333333333333335,0.4866666666666667
"A: theta=0, c=0",0.0,0.0,0.0,0.0,40,0.4866666666666667,0.26666666666666666
"A: theta=0, c=0",0.0,0.0,0.0,0.0,41,0.7266666666666667,0.4533333333333333
