estimator,trial,beta,sign_error,mse,entropy_final,sign_prob_final
x_pf,0,0.0,0.35,0.05718837284691153,0.999717071267662,0.509901980430944
x_pf,1,0.0,0.43,0.4854444908257214,0.9970769128698276,0.46818207398100714
x_pf,2,0.0,0.38,0.25730186931711446,0.9951587382302105,0.5409386838671977
x_pf,3,0.0,0.52,0.73260095381145,0.9994341720570379,0.4859973079995886
x_pf,4,0.0,0.41,0.26644740327632577,0.9999601771663797,0.49628497436966457
x_pf,5,0.0,0.62,0.4030192438244573,0.9949825041833313,0.45832369161368325
x_pf,6,0.0,0.26,0.29900772581315915,0.9998996075903859,0.49410147893303125
x_pf,7,0.0,0.44,0.26145068810728495,0.9999042794659372,0.4942403580439669
x_pf,8,0.0,0.31,0.2847981509348593,0.9999419063388204,0.504487032257673
x_pf,9,0.0,0.42,0.5772200810085352,0.997678834817489,0.5283552998023198
x_pf,10,0.0,0.57,0.22600125606596305,0.9973550669141196,0.4697327960216079
x_pf,11,0.0,0.56,1.5133785417276349,0.924873110951965,0.34005686549784353
x_pf,12,0.0,0.64,0.7204243069723497,0.9971617633008689,0.4686469673195745
x_pf,13,0.0,0.27,0.834965043003691,0.9906463748658982,0.4431255106823101
x_pf,14,0.0,0.52,0.3202466639137297,0.9962880440267817,0.4641480516593072
x_pf,15,0.0,0.63,0.21509522910600024,0.9889545250673848,0.5617923172606254
x_pf,16,0.0,0.44,0.26160296726332605,0.9992391548319227,0.5162370712799573
x_pf,17,0.0,0.72,0.40785222324844833,0.9999579153470048,0.4961809310741341
x_pf,18,0.0,0.07,0.6614515731382774,0.9991955131674983,0.48330383094154583
x_pf,19,0.0,0.5,0.5488287791710387,0.9996359189331067,0.5112325539277097
x_pf,20,0.0,0.74,0.3559523595102189,0.9997705340418179,0.5089175458809683
x_pf,21,0.0,0.42,0.25277038533507007,0.9999630562396602,0.5035782149696062
x_pf,22,0.0,0.44,0.3350005502191759,0.9918405184432977,0.4468725533624078
x_pf,23,0.0,0.38,0.5637834356418369,0.9997698547448349,0.49106926509563664
x_pf,24,0.0,0.43,0.6429513200379873,0.9999596114486455,0.4962586800956549
x_pf,25,0.0,0.57,0.18121498116427337,0.9971663876080104,0.4686725025479484
x_pf,26,0.0,0.31,0.43187547584768915,0.9960208353313971,0.5371187960859694
x_pf,27,0.0,0.67,0.7882423774341517,0.9961147933404186,0.4633216567969682
x_pf,28,0.0,0.66,0.2002458631939458,0.9993716481265391,0.4852440335114365
x_pf,29,0.0,0.79,1.2079382320058871,0.9999962640566004,0.5011378832099369
x_pf,30,0.0,0.5,0.35171297652772127,0.9989888989648039,0.48128265389969566
x_pf,31,0.0,0.44,0.13320404298930558,0.9999973083667208,0.49903415921130706
x_pf,32,0.0,0.51,0.2364982471746546,0.999940817978666,0.4954711320236904
x_pf,33,0.0,0.49,0.28000747476990406,0.9970268122339623,0.532089255348792
x_pf,34,0.0,0.44,0.3687330938623037,0.9936807765489494,0.5467640509905426
x_pf,35,0.0,0.3,0.1950086128203953,0.9993153894931913,0.5154022851616822
x_pf,36,0.0,0.62,0.3793990726263265,0.9973630227335506,0.46977832357518395
x_pf,37,0.0,0.62,0.46342286796084103,0.9972702806629032,0.469251799915962
x_pf,38,0.0,0.49,0.12090944098190116,0.999116068183189,0.517500995753748
x_pf,39,0.0,0.64,1.025999348774996,0.994136026850956,0.545050452172873
x_pf,40,0.0,0.7,0.5628512995146915,0.9999989821301106,0.5005939416966467
x_pf,41,0.0,0.67,0.9079311655063113,0.9983100225222611,0.524196545800202
x_pf,42,0.0,0.61,0.2743487127779564,0.9974385508030756,0.5297859890361762
x_pf,43,0.0,0.59,0.20639017218460867,0.9839199415705238,0.4254869969660124
x_pf,44,0.0,0.72,0.8398094133713967,0.9995923195190495,0.4881139586636314
x_pf,45,0.0,0.66,0.8306665281117716,0.9999935970551332,0.498510339532674
x_pf,46,0.0,0.23,0.3680439891874353,0.9993340347227108,0.48480886901184006
x_pf,47,0.0,0.46,0.3201892977821904,0.9945852124210787,0.5432928791672933
x_pf,48,0.0,0.48,0.4156161039154222,0.9992621872810565,0.5159894593240515
x_pf,49,0.0,0.67,0.5082049288203784,0.9081199482462018,0.6765254585156115
x_pf,50,0.0,0.08,0.350607290453248,0.998971678864133,0.5188760235372634
x_pf,51,0.0,0.68,0.18014042718009496,0.9989301028842088,0.4807462623169027
x_pf,52,0.0,0.57,0.29991117966215225,0.9935375108309343,0.4527096012263566
x_pf,53,0.0,0.54,0.22928846831539076,0.9973188285583585,0.5304737170805113
x_pf,54,0.0,0.43,1.5893757299897542,0.9994954303148307,0.513223091163459
x_pf,55,0.0,0.72,0.6414433135020684,0.9999839209111732,0.4976393715157582
x_pf,56,0.0,0.63,0.46742127302486525,0.9911292818390222,0.4446100158505252
x_pf,57,0.0,0.36,0.6039727136510253,0.9989066380401198,0.4805363249938398
x_pf,58,0.0,0.24,0.33723468680139723,0.9999035873264613,0.5057804274994195
x_pf,59,0.0,0.58,0.5611624944454807,0.9991928674160864,0.48327640387600007
x_pf,60,0.0,0.48,0.3444144978513905,0.9992666986529964,0.5159405087309022
x_pf,61,0.0,0.32,0.23829612774446637,0.9892243244952805,0.4389651143633703
x_pf,62,0.0,0.22,0.195862791247974,0.9943120631839113,0.5443699973616097
x_pf,63,0.0,0.5,0.18462687718599166,0.9943565822834068,0.4558037563974955
x_pf,64,0.0,0.93,0.8847410582101244,0.9932860287382035,0.45179965474201156
x_pf,65,0.0,0.51,0.29101907987957654,0.9996215380829792,0.48854777595937504
x_pf,66,0.0,0.51,0.18070943348696208,0.9997177504234396,0.4901099105294041
x_pf,67,0.0,0.38,0.3369887829155085,0.9490920752472526,0.36795902235355715
x_pf,68,0.0,0.75,0.44638458693218397,0.9277257920439567,0.6569304683337911
x_pf,69,0.0,0.47,0.1573381139744228,0.9993335426175043,0.5151967417184702
x_pf,70,0.0,0.51,0.42492139712807886,0.999998501818931,0.49927942397193437
x_pf,71,0.0,0.62,0.6580329453461098,0.993620547190797,0.45301394811810836
x_pf,72,0.0,0.41,0.21444698520545522,0.9984772463962015,0.5229686847702869
x_pf,73,0.0,0.15,0.23032805845382553,0.996701107872142,0.5337999583703912
x_pf,74,0.0,0.44,0.5018634024116058,0.9999993929701798,0.5004586725135516
x_pf,75,0.0,0.4,0.4778814407684417,0.9989461549187539,0.4808912079467965
x_pf,76,0.0,0.76,1.3149632325661207,0.9936994533503072,0.45330500595286105
x_pf,77,0.0,0.63,0.29385460718430834,0.9980867026764597,0.47425499780745406
x_pf,78,0.0,0.61,0.8105227534613914,0.9915384763218104,0.4459000652048458
x_pf,79,0.0,0.85,1.1626813807412844,0.9995956376437367,0.5118375766116346
x_pf,80,0.0,0.78,0.4467314369647646,0.9999069640430804,0.5056783019028692
x_pf,81,0.0,0.37,0.1996190628029694,0.9956814425241278,0.5386678673956206
x_pf,82,0.0,0.26,0.43000362779820406,0.995672206158336,0.46129084538977416
x_pf,83,0.0,0.6,0.4091242441900064,0.9933020569625362,0.4518571339286611
