beta,bin,mean_reported,empirical,n
0.1,3,0.3357202095040579,0.3333333333333333,3
0.1,4,0.47743630181809504,0.47619047619047616,21
0.1,5,0.5402023686255599,0.6166666666666667,60
0.1,6,0.6493221520859597,0.5,12
0.1,7,0.7380792050264466,0.5,4
0.3,4,0.4617010253665179,0.8,5
0.3,5,0.5489465681124958,0.6101694915254238,59
0.3,6,0.6372354863238577,0.5625,16
0.3,7,0.7421692598315269,0.6,10
0.3,8,0.8352779048946116,1.0,5
0.3,9,0.9572822793095159,0.8,5
0.5,5,0.5641909729165234,0.5384615384615384,39
0.5,6,0.6517322445056023,0.6428571428571429,28
0.5,7,0.7626464633962978,0.8571428571428571,7
0.5,8,0.8390268148257569,0.9090909090909091,11
0.5,9,0.9456977101926675,0.8,15
1.0,5,0.590122056392977,0.7272727272727273,11
1.0,6,0.6475653627587244,0.6363636363636364,22
1.0,7,0.7461220329734839,0.7,10
1.0,8,0.8568869700508532,0.7777777777777778,9
1.0,9,0.9818699307346949,0.9583333333333334,48
