beta,estimator,trial,sign_error
0.0,x_pf,0,0.56
0.0,x_pf,1,0.33
0.0,x_pf,2,0.27
0.0,x_pf,3,0.54
0.0,x_pf,4,0.46
0.0,x_pf,5,0.3
0.0,x_pf,6,0.76
0.0,x_pf,7,0.54
0.0,x_pf,8,0.5
0.0,x_pf,9,0.41
0.0,x_pf,10,0.72
0.0,x_pf,11,0.65
0.0,x_pf,12,0.7
0.0,x_pf,13,0.46
0.0,x_pf,14,0.79
0.0,x_pf,15,0.44
0.0,x_pf,16,0.7
0.0,x_pf,17,0.58
0.0,x_pf,18,0.39
0.0,x_pf,19,0.41
0.0,x_pf,20,0.49
0.0,x_pf,21,0.45
0.0,x_pf,22,0.59
0.0,x_pf,23,0.3
0.0,x_pf,24,0.35
0.0,x_pf,25,0.53
0.0,x_pf,26,0.39
0.0,x_pf,27,0.69
0.0,x_pf,28,0.64
0.0,x_pf,29,0.62
0.0,x_pf,30,0.55
0.0,x_pf,31,0.47
0.0,x_pf,32,0.2
0.0,x_pf,33,0.57
0.0,x_pf,34,0.64
0.0,x_pf,35,0.53
0.0,x_pf,36,0.48
0.0,x_pf,37,0.61
0.0,x_pf,38,0.65
0.0,x_pf,39,0.55
0.0,x_pf,40,0.61
0.0,x_pf,41,0.47
0.0,x_pf,42,0.41
0.0,x_pf,43,0.57
0.0,x_pf,44,0.38
0.0,x_pf,45,0.33
0.0,x_pf,46,0.34
0.0,x_pf,47,0.24
0.0,x_pf,48,0.48
0.0,x_pf,49,0.56
0.0,x_pf,50,0.3
0.0,x_pf,51,0.64
0.0,x_pf,52,0.53
0.0,x_pf,53,0.41
0.0,x_pf,54,0.55
0.0,x_pf,55,0.71
0.0,x_pf,56,0.35
0.0,x_pf,57,0.53
0.0,x_pf,58,0.61
0.0,x_pf,59,0.64
0.0,x_pf,60,0.38
0.0,x_pf,61,0.3
0.0,x_pf,62,0.47
0.0,x_pf,63,0.46
0.0,x_pf,64,0.36
0.0,x_pf,65,0.54
0.0,x_pf,66,0.4
0.0,x_pf,67,0.43
0.0,x_pf,68,0.74
0.0,x_pf,69,0.44
0.0,x_pf,70,0.43
0.0,x_pf,71,0.44
0.0,x_pf,72,0.9
0.0,x_pf,73,0.29
0.0,x_pf,74,0.31
0.0,x_pf,75,0.28
0.0,x_pf,76,0.2
0.0,x_pf,77,0.47
0.0,x_pf,78,0.49
0.0,x_pf,79,0.44
0.0,x_pf,80,0.37
0.0,x_pf,81,0.17
0.0,x_pf,82,0.56
0.0,x_pf,83,0.48
0.0,x_pf,84,0.54
0.0,x_pf,85,0.58
0.0,x_pf,86,0.47
0.0,x_pf,87,0.23
0.0,x_pf,88,0.68
0.0,x_pf,89,0.5
0.0,x_pf,90,0.53
0.0,x_pf,91,0.51
0.0,x_pf,92,0.38
0.0,x_pf,93,0.5
0.0,x_pf,94,0.09
0.0,x_pf,95,0.56
0.0,x_pf,96,0.39
0.0,x_pf,97,0.49
0.0,x_pf,98,0.52
0.0,x_pf,99,0.36
0.0,oracle_x,0,0.5
0.0,oracle_x,1,0.53
0.0,oracle_x,2,0.54
0.0,oracle_x,3,0.54
0.0,oracle_x,4,0.43
0.0,oracle_x,5,0.5
0.0,oracle_x,6,0.51
0.0,oracle_x,7,0.52
0.0,oracle_x,8,0.45
0.0,oracle_x,9,0.48
0.0,oracle_x,10,0.46
0.0,oracle_x,11,0.46
0.0,oracle_x,12,0.46
0.0,oracle_x,13,0.49
0.0,oracle_x,14,0.48
0.0,oracle_x,15,0.47
0.0,oracle_x,16,0.6
0.0,oracle_x,17,0.49
0.0,oracle_x,18,0.42
0.0,oracle_x,19,0.51
0.0,oracle_x,20,0.37
0.0,oracle_x,21,0.49
0.0,oracle_x,22,0.49
0.0,oracle_x,23,0.42
0.0,oracle_x,24,0.56
0.0,oracle_x,25,0.49
0.0,oracle_x,26,0.55
0.0,oracle_x,27,0.55
0.0,oracle_x,28,0.38
0.0,oracle_x,29,0.53
0.0,oracle_x,30,0.5
0.0,oracle_x,31,0.46
0.0,oracle_x,32,0.54
0.0,oracle_x,33,0.51
0.0,oracle_x,34,0.47
0.0,oracle_x,35,0.53
0.0,oracle_x,36,0.5
0.0,oracle_x,37,0.48
0.0,oracle_x,38,0.53
0.0,oracle_x,39,0.52
0.0,oracle_x,40,0.49
0.0,oracle_x,41,0.46
0.0,oracle_x,42,0.46
0.0,oracle_x,43,0.51
0.0,oracle_x,44,0.48
0.0,oracle_x,45,0.49
0.0,oracle_x,46,0.53
0.0,oracle_x,47,0.57
0.0,oracle_x,48,0.5
0.0,oracle_x,49,0.48
0.0,oracle_x,50,0.44
0.0,oracle_x,51,0.44
0.0,oracle_x,52,0.59
0.0,oracle_x,53,0.54
0.0,oracle_x,54,0.52
0.0,oracle_x,55,0.52
0.0,oracle_x,56,0.52
0.0,oracle_x,57,0.47
0.0,oracle_x,58,0.43
0.0,oracle_x,59,0.43
0.0,oracle_x,60,0.54
0.0,oracle_x,61,0.51
0.0,oracle_x,62,0.42
0.0,oracle_x,63,0.51
0.0,oracle_x,64,0.47
0.0,oracle_x,65,0.51
0.0,oracle_x,66,0.44
0.0,oracle_x,67,0.57
0.0,oracle_x,68,0.45
0.0,oracle_x,69,0.49
0.0,oracle_x,70,0.53
0.0,oracle_x,71,0.44
0.0,oracle_x,72,0.58
0.0,oracle_x,73,0.57
0.0,oracle_x,74,0.5
0.0,oracle_x,75,0.46
0.0,oracle_x,76,0.5
0.0,oracle_x,77,0.46
0.0,oracle_x,78,0.5
0.0,oracle_x,79,0.53
0.0,oracle_x,80,0.46
0.0,oracle_x,81,0.53
0.0,oracle_x,82,0.48
0.0,oracle_x,83,0.55
0.0,oracle_x,84,0.56
0.0,oracle_x,85,0.4
0.0,oracle_x,86,0.4
0.0,oracle_x,87,0.56
0.0,oracle_x,88,0.49
0.0,oracle_x,89,0.46
0.0,oracle_x,90,0.46
0.0,oracle_x,91,0.54
0.0,oracle_x,92,0.46
0.0,oracle_x,93,0.42
0.0,oracle_x,94,0.6
0.0,oracle_x,95,0.49
