axis,axis_value,estimator,trial,sign_error
sigma_obs,0.05,x_pf,0,0.67
sigma_obs,0.05,x_pf,1,0.71
sigma_obs,0.05,x_pf,2,0.27
sigma_obs,0.05,x_pf,3,0.34
sigma_obs,0.05,x_pf,4,0.68
sigma_obs,0.05,x_pf,5,0.56
sigma_obs,0.05,x_pf,6,0.63
sigma_obs,0.05,x_pf,7,0.36
sigma_obs,0.05,x_pf,8,0.74
sigma_obs,0.05,x_pf,9,0.78
sigma_obs,0.05,x_pf,10,0.48
sigma_obs,0.05,x_pf,11,0.2
sigma_obs,0.05,x_pf,12,0.62
sigma_obs,0.05,x_pf,13,0.42
sigma_obs,0.05,x_pf,14,0.34
sigma_obs,0.05,x_pf,15,0.24
sigma_obs,0.05,x_pf,16,0.43
sigma_obs,0.05,x_pf,17,0.5
sigma_obs,0.05,x_pf,18,0.73
sigma_obs,0.05,x_pf,19,0.55
sigma_obs,0.05,x_pf,20,0.6
sigma_obs,0.05,x_pf,21,0.33
sigma_obs,0.05,x_pf,22,0.42
sigma_obs,0.05,x_pf,23,0.38
sigma_obs,0.05,x_pf,24,0.35
sigma_obs,0.05,x_pf,25,0.56
sigma_obs,0.05,x_pf,26,0.35
sigma_obs,0.05,x_pf,27,0.86
sigma_obs,0.05,x_pf,28,0.46
sigma_obs,0.05,x_pf,29,0.47
sigma_obs,0.05,x_pf,30,0.33
sigma_obs,0.05,x_pf,31,0.29
sigma_obs,0.05,x_pf,32,0.48
sigma_obs,0.05,x_pf,33,0.41
sigma_obs,0.05,x_pf,34,0.51
sigma_obs,0.05,x_pf,35,0.58
sigma_obs,0.05,x_pf,36,0.38
sigma_obs,0.05,x_pf,37,0.5
sigma_obs,0.05,x_pf,38,0.53
sigma_obs,0.05,x_pf,39,0.39
sigma_obs,0.05,x_pf,40,0.32
sigma_obs,0.05,x_pf,41,0.47
sigma_obs,0.05,x_pf,42,0.5
sigma_obs,0.05,x_pf,43,0.47
sigma_obs,0.05,x_pf,44,0.43
sigma_obs,0.05,x_pf,45,0.74
sigma_obs,0.05,x_pf,46,0.15
sigma_obs,0.05,x_pf,47,0.66
sigma_obs,0.05,x_pf,48,0.6
sigma_obs,0.05,x_pf,49,0.48
sigma_obs,0.05,x_pf,50,0.39
sigma_obs,0.05,x_pf,51,0.37
sigma_obs,0.05,x_pf,52,0.85
sigma_obs,0.05,x_pf,53,0.63
sigma_obs,0.05,x_pf,54,0.51
sigma_obs,0.05,x_pf,55,0.52
sigma_obs,0.05,x_pf,56,0.44
sigma_obs,0.05,x_pf,57,0.51
